task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,step,chain,run_id,error,primary_download_time_ms,primary_upload_time_ms,additional_download_time_ms,additional_upload_time_ms,additional_download_count,additional_upload_count
c_decompress,small,2048,299.4065280000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_2048mb_small_1.out,4986764,5235852,67.104108,41.518999,144.387106,253.010213,74.31384100000000,36.26260100000000,,,,,,,,,,
c_decompress,small,2048,239.5727630000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_2048mb_small_2.out,4986764,5235852,77.044626,40.738208,72.116098,189.898932,64.72565700000000,72.60309599999999,,,,,,,,,,
c_decompress,small,2048,279.97541400000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_2048mb_small_3.out,4986764,5235852,90.198098,42.231238,102.735895,235.165231,55.2867980000000,50.96419300000000,,,,,,,,,,
c_decompress,small,2048,265.0468350000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_2048mb_small_4.out,4986764,5235852,79.972793,40.926849,99.57361,220.473252,62.35575600000000,52.58272700000000,,,,,,,,,,
c_decompress,small,2048,231.9307330000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_2048mb_small_5.out,4986764,5235852,70.958653,40.058324,78.031534,189.048511,70.27703900000000,67.0991810000000,,,,,,,,,,
c_decompress,medium,256,6298.943281000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_256mb_medium_1.out,49893161,52387852,700.775812,2918.305617,2608.101171,6227.1826,71.19703600000000,20.086587000000002,,,,,,,,,,
c_decompress,medium,256,6278.673410000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_256mb_medium_2.out,49893161,52387852,742.358026,2896.713061,2559.254928,6198.326015,67.20902800000000,20.46996200000000,,,,,,,,,,
c_decompress,medium,256,6097.889423000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_256mb_medium_3.out,49893161,52387852,621.388671,2861.992493,2522.340609,6005.721773,80.29300100000000,20.769539000000002,,,,,,,,,,
c_decompress,medium,256,6420.073509000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_256mb_medium_4.out,49893161,52387852,801.062317,2876.899393,2650.95161,6328.91332,62.283745000000003,19.761904000000001,,,,,,,,,,
c_decompress,medium,256,6482.074022000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_256mb_medium_5.out,49893161,52387852,779.199771,2858.188091,2761.265316,6398.653178,64.0312830000000,18.972408000000001,,,,,,,,,,
